week,spa,sb,sd,google_youtube,bing,google_without_youtube,others,fb-ig,twitter,tiktok,dsp,fincast,promotion,amazon search volume,google search index,amazon search index,sales_revenue,amz_search_without_keywords,amz_rev,dtc_rev,total_rev
2023/7/9,229557.37,47277.48,6093.85,0,2699.48,24510.1,0,28650.49,0,0,161431.08,0,1,1840358,57,26.35446683,33600960.33,1820996,17296925.63,292071.9,17588997.53
2023/7/16,214427.76,43069.82,7620.8,0,2366.97,19113.21,0,24876.39,0,0,77505.64,0,0,5215002,44,85.31464206,11942791.49,689707,6337962.06,200760.82,6538722.88
2023/7/23,236754.91,42970.12,9162.39,0,2221.28,16589.49,0,19372.39,0,0,61065.63,0,0,1718599,46,24.22715148,12490091.02,636914,6683969.68,189889.39,6873859.07
2023/7/30,335603.18,57016.61,11462.86,0,2404.33,39552.14,0,112212.17,29472,0,144335.67,0,0,1705716,46,24.00206583,14529679.79,730710,7806663.19,348267.34,8154930.53
2023/8/6,416890.72,78988.07,15190.84,0,2363.29,25749.23,0,124439.43,30143.38,0,211082.56,0,0,1923372,44,27.80484796,14061583.36,747661,7942818.62,266807.07,8209625.69
2023/8/13,414038.21,94325.19,14110.42,0,2241.55,21149.61,437.58,124986.41,29259.27,0,232760.65,0,0,1895899,50,27.32485277,13998073.38,772781,7825153.26,285408.74,8110562
2023/8/20,468287.7,98931.72,15974.4,0,2374.19,30916.3,850.92,130219.23,41802.88,0,201089.87,0,0,1990834,46,28.98351195,13995252.27,735291,7568380.31,311076.77,7879457.08
2023/8/27,529743.96,107197.2,21773.97,0,2015.8,33443.4,855.09,81255.98,52344.12,0,181578.11,0,0,1710240,43,24.08110701,14572689.32,725664,7541523.18,320277.09,7861800.27
2023/9/3,582399.53,102829.48,22325.41,0,1784.07,39222.63,860.77,91478.13,37736.76,3276.82,162362.31,0,0,1962189,40,28.48304013,14508651.6,723302,7731919.018,295323.62,8027242.638
2023/9/10,638027.23,90549.12,18552.42,496.15,1903.65,62169.89,746.2,80142.56,12370.89,10351.34,135350.37,0,0,1907403,48,27.52584519,17226562.5,910942,9816413.485,460693.79,10277107.27
2023/9/17,512679.75,72286.12,13134.12,0,2407.56,74954.19,346.18,59522.39,16641.04,16896.9,124723.22,0,0,2173865,54,32.18134254,19841221.47,1091879,11122678.7,522367.33,11645046.03
