week,spa,sb,sd,google_youtube,bing,google_without_youtube,others,fb-ig,twitter,tiktok,dsp,fincast,promotion,amazon search volume,google search index,amazon search index,sales_revenue,amz_search_without_keywords,amz_rev,dtc_rev,total_rev,spa_impressions,sb_impressions,sd_impressions,bing_impressions,google_youtube_impressions,google_without_youtube_impressions,fb-ig_impressions,twitter_impressions,tiktok_impressions,dsp_impressions,fincast_impressions
2023-01-15,94790.81,22129.74,3543.03,0,1200.09,10567.13,0,11799.49,400.08,0,61039.59,0,0,1077816,39,13.03169562,11834637.19,651188,6318167.79,255286.39,6573454.18,17124569,2318181,815697,109817,0,935663,1113886,175522,0,9718221,0
2023-01-22,95172.31,21385.66,3411.63,0,1107.88,14181.92,0,16742.94,0,0,59795.63,0,0,987198,39,11.44846101,11924758.46,641905,6328446.595,236080.81,6564527.405,17860046,2363604,705302,99014,0,1366716,1542322,0,0,9514523,0
2023-01-29,112045.85,20227.76,2230.09,0,1296.74,52026.67,0,48000.66,10111.37,0,72302.63,0,0,998246,39,11.64148641,14172633.2,651175,6710330.185,346584.14,7056914.325,20473967,2280269,449845,77181,0,10504823,9253224,5242520,0,10250928,0
2023-02-05,114593.17,20329.13,1658.3,978.11,1249.03,25595.29,0,42626.74,2578.2,0,77555.65,0,0,1023523,38,12.08311414,12420795.35,648181,6547730.978,310423.18,6858154.158,21367013,3049014,342188,70140,120778,1460030,4566184,1166014,0,11210301,0
2023-02-12,126900.7,20788.77,978.18,13870.81,2284.81,28123.71,0,59410.04,5639.26,0,91309.42,0,0,1000973,40,11.68913126,11878282.17,626241,6243466.82,367554.56,6611021.38,21251810,2897790,203780,112245,1563964,1511162,9282024,2947870,0,12309442,0
2023-02-19,138028.95,20504.71,1612.04,11042.39,2701.9,35209.25,0,56158.01,5413.01,0,82913.73,0,0,960638,38,10.98441732,12155122.45,663717,6582376.363,385182.77,6967559.133,26475122,2343536,339675,77911,1236746,1898483,7534478,2890199,0,10654300,0
2023-02-26,126930.63,20647.96,1890.78,11852.27,2606.41,30138.25,0,33245.04,5593.63,0,82483.72,0,0,1146173,39,14.22599662,13326997.75,633946,6511626.234,250491.7,6762117.934,23691240,2271889,421369,137725,1394113,2022511,3459245,3180938,0,10066772,0
2023-03-05,130672.15,20422.87,1774.67,1992.22,2966.72,29445.2,0,19250.11,2167.13,0,55344.46,0,0,1141829,39,14.15010031,12825855.24,641985,7000660.94,199915.31,7200576.25,22084701,2489329,381197,211339,217788,1904048,1671134,1102627,0,6667023,0
2023-03-12,135169.89,20853.36,1790.02,0,3719.44,33717.78,0,21769.45,1417.84,20962.01,74275.18,0,0,1153628,40,14.35624683,12117861.7,623699,6649097.6,247899.11,6896996.71,20615569,2384800,381136,320238,0,2932212,1788927,604475,3221936,7885570,0
2023-03-19,137506.93,20336.59,1484.8,0,759.74,32021,0,43896.3,1317.07,12037.99,77681.72,0,0,1106552,39,13.53375734,12860229.49,636563,6638826.617,328300.55,6967127.167,21211235,2519845,371805,51820,0,1838525,3503359,619230,1991177,9694938,0
2023-03-26,132746.96,19326.07,1858.93,0,0,36636.23,0,27341.57,1649.23,2206.64,76804.17,0,0,1110698,40,13.60619428,13894480.1,608492,6380699.82,316755.61,6697455.43,19838702,2708485,472728,0,0,1786174,2515471,613889,326171,8486351,0
2023-04-02,133232.67,17804.06,1523.37,0,0,29385.62,0,5960.22,2396.82,0,65478.29,0,0,1234650,36,15.77182469,11054314.31,583337,5998783.46,203877.54,6202661,19150816,2619652,384057,0,0,1643031,886555,1856996,0,7280066,0
2023-04-09,128555.07,18584.9,759.69,0,0,31776.51,0,12778.56,4226.1,0,85333.86,0,0,1041910,39,12.40436306,12125642.53,597185,6517910.6,214439.61,6732350.21,19069803,2303638,217219,0,0,1349457,1580633,2907215,0,8819068,0
2023-04-16,132029.78,18745.51,1060.91,0,1.2,28032.15,0,23506.47,2681.76,0,99827.57,0,0,1074783,37,12.97870448,12319794.48,570887,6262158.96,217890.24,6480049.2,20715445,2535881,243888,82,0,1143952,2781032,1561373,0,8973636,0
2023-04-23,176304.42,18882.63,2573.34,0,0,34484.65,0,38616.87,4793.31,2000,92636.97,0,0,1009777,38,11.84295056,12487856.39,589030,6298540.36,217599.03,6516139.39,26482693,2440496,603961,0,0,1515211,4040017,3087468,311795,7935991,0
2023-04-30,178510.02,18280.26,2661.94,0,0,30576.89,0,52719.04,0,0,74185.34,0,0,1089033,38,13.22767371,11949539.67,590807,6582344.403,224661.12,6807005.523,26073957,2335795,676625,0,0,1282558,5451496,0,0,6414632,0
2023-05-07,210398.33,19703.59,3372.62,0,0,30004.02,0,42672.41,930.13,0,74368.4,0,0,1088315,41,13.21512915,13016219.38,624112,7507349.2,248630.3,7755979.5,28974869,2223360,762304,0,0,1365939,5462580,414950,0,6156646,0
2023-05-14,192472.81,19131.76,3149.71,0,548.51,25151.15,0,18786.98,2116.79,16338.29,71777.52,0,0,1129590,38,13.93626632,11859787.24,609324,6540978.24,206233.44,6747211.68,26070515,2154255,776444,162861,0,1250722,3301715,856638,2729639,5693460,0
2023-05-21,173842.52,20458.3,4823.44,0,1705.75,21620.56,0,17995.52,2760.46,461.71,72499.11,0,0,1062038,39,12.7560299,11239638.18,602292,5974327.36,200591.69,6174919.05,24104583,2273825,1292975,133287,0,1109834,3106779,1059958,92107,6096217,0
