,week,spa_spend,sb_spend,sd_spend,google_youtube_spend,bing_spend,google_without_youtube_spend,fb-ig_spend,twitter_spend,tiktok_spend,dsp_spend,fincast_spend,spa_impressions,sb_impressions,sd_impressions,bing_impressions,google_youtube_impressions,google_without_youtube_impressions,fb-ig_impressions,twitter_impressions,tiktok_impressions,dsp_impressions,fincast_impressions,amazon_search_volume,google_search_index,promotion,amz_rev,dtc_rev,total_rev
65,2023-04-30,500324.15,156735.62,18834.18,0,0,240229.18,232681.58,3541.95,6190.49,162647.88,0,113441704,23827087,7669819,0,0,15661922,23851265,3401496,1668994,23092200,0,1799118,31,0,26045084.16,2305269.224,28350353.39
66,2023-05-07,580938.81,166735.08,24309.06,343.47,0,248754.63,308340.56,5592.23,4532.36,187649.09,0,125882607,24048974,9488975,4427,0,17003927,33678253,5142063,1109963,25323524,0,1870491,31,0,30086260.05,2918143.158,33004403.21
67,2023-05-14,590805.2,168582.54,29206.6,1606.78,0,229228.27,504485.46,6779.08,33962.13,153747.93,0,128950857,25103758,11713933,238321,0,17080714,51189284,5734864,7478077,20249976,0,1769303,30,0,28321367.46,3084652.916,31406020.37
68,2023-05-21,598223.88,171945.62,34826.23,7630.22,0,226319.61,468879.71,7368.92,18496.68,200694.08,0,129492103,24819833,15221485,328607,0,14773671,46324638,4587315,5007435,24628270,0,1821021,29,0,28086000.45,3253235.455,31339235.9
69,2023-05-28,652000.49,187150.85,35832.61,7649.27,0,263215.22,437376.84,7319.84,42460.92,190263.29,0,145154495,26925913,14644747,267444,0,17142227,48196666,4898740,9829635,25557548,0,2513682,31,0,32641955.78,3378527.091,36020482.87
70,2023-06-04,623237.84,186023.76,30322.72,9089.26,26638.33,257250.1,327977.14,14763.19,27624.05,210925.54,0,140760682,26144077,13283156,699041,2270512,14872040,36771114,9406756,7368307,22758710,0,2381711,30,0,29259803.92,2991436.482,32251240.4
71,2023-06-11,646080.25,187450.82,30549.45,8249.41,48459,297672.52,564577.3,9902.53,58575.63,251587.77,0,145369398,26568404,11020844,286513,7576966,15455083,55461064,5979044,15590591,28118186,0,2459134,32,0,30405877.8,3745108.949,34150986.75
72,2023-06-18,661640.01,192482.41,30343.61,8919.16,33740.47,299352.09,451194.15,4652.81,53076.42,218449.1,0,149403344,26285795,10049155,431987,10841680,14774895,43614235,3517420,18207503,35189204,0,2463114,34,0,29044864.75,3632553.974,32677418.72
73,2023-06-25,703703.89,202158.15,36066.58,9819.65,280248.96,354726.56,542637.96,3211.04,56192.04,426811.88,0,160536670,25671523,11494543,773600,54700979,15657563,55609620,2898416,16407956,65347589,0,2614295,33,0,28478132.78,4241406.584,32719539.37
74,2023-07-02,836116.25,265069.5,43071.25,10945.05,290247.79,365756.59,569216.75,0,68538.28,656290.1,0,186911449,29169491,12176368,602713,51928279,17907982,69743180,0,17322083,103541721,0,3020583,37,0,32635063.91,4866333.964,37501397.87
