week,SPA_spend,SB_spend,SD_spend,bing_spend,youtube_spend,pmax_spend,shopping_spend,search_spend,display_spend,demandgen_spend,fb-ig_spend,tiktok_spend,dsp_spend,SPA_impression,SB_impression,SD_impression,bing_impression,youtube_impression,pmax_impression,shopping_impression,search_impression,display_impression,demandgen_impression,fb-ig_impression,tiktok_impression,dsp_impression,amz_rev,dtc_rev,total_rev,google_trend
2024-12-01,121910.84,29085.81,1291.97,4089.38,4172.48,78350.83,0.0,37927.3,0.0,4645.82,137202.9,0.0,74446.19,9566503.74,1796783,402885,757541,330201,3019496,0,507238,0,630802,7509430,0,9327434,2624952.62,3053039.24,5677991.86,45
2024-12-08,70807.19,18339.34,1999.73,1287.62,4238.19,24931.25,0.0,10269.14,0.0,730.75,68983.68,0.0,40445.96,4004806.92,1293721,597282,371834,366800,1125519,0,185593,0,60056,4852453,0,1976609,1782126.47,626654.83,2408781.3,37
2024-12-15,70452.55,15698.75,1144.5,2065.31,15968.71,31617.66,0.0,26507.29,0.0,15233.97,197289.53,0.0,38195.65,4088684.12,1400133,575902,660714,1357354,1473127,0,360382,0,2257242,16273136,0,1981531,1120338.02,945750.96,2066088.98,40
2024-12-22,65277.41,15293.71,709.45,2788.42,141868.24,14345.86,0.0,12828.6,0.0,1584.95,64053.86,0.0,50440.14,4750639.03,1295256,221608,724724,13086924,650373,0,575087,0,291053,5693162,0,4776667,659365.78,726530.71,1385896.49,42
2024-12-29,64494.97,14177.29,723.97,3281.76,75083.34,20139.31,0.0,9614.57,0.0,0.0,38986.41,0.0,14197.04,4788885.08,1443984,234677,771891,7994648,2899746,0,260112,0,0,3414197,0,1359992,1064508.37,1399356.56,2463864.93,38
2025-01-05,90569.8,22130.43,1621.5,585.88,0.0,22206.68,0.0,14032.48,0.0,0.0,29552.66,0.0,13405.99,6658292.31,1930491,437059,71204,0,1070871,0,209242,0,0,2439418,0,1575002,2354117.41,1229529.87,3583647.28,54
2025-01-12,106620.79,20971.96,2287.7,524.53,14086.74,20801.08,0.0,18531.06,0.0,8591.24,66916.57,0.0,18058.75,7922534.06,1859723,738452,105472,1438883,1059597,0,430651,0,1563294,6870088,0,1313907,1691038.54,914573.97,2605612.51,50
2025-01-19,92272.48,19754.32,1421.18,2039.99,14158.83,31489.6,0.0,35808.03,0.0,14785.96,100159.12,0.0,15321.66,6452127.07,1724174,368765,550664,1447774,1228943,0,402464,0,3544122,10890886,0,1122215,1354061.59,1498274.53,2852336.12,55
2025-01-26,72598.95,16545.86,771.1,891.42,0.0,24041.94,0.0,14014.8,0.0,0.0,55262.75,0.0,11137.61,5085244.15,1175760,218502,292005,0,1210577,0,289271,0,0,5478428,0,1023479,1002637.24,846357.06,1848994.3,34
2025-02-02,106065.09,19603.29,1580.45,767.87,0.0,25432.62,0.0,18366.81,0.0,7627.75,97535.43,0.0,17632.97,7564964.33,1499221,319957,172901,0,1322337,0,370888,0,1314762,9018569,0,2583189,2049590.33,793882.33,2843472.66,40
2025-02-09,83337.28,17318.51,852.95,1141.91,0.0,44545.59,0.0,33986.59,0.0,15881.24,110153.34,0.0,22902.71,5342319.9,1216800,171983,223959,0,1768255,0,463600,0,1792493,10184670,0,1715787,1311545.13,918105.72,2229650.85,42
2025-02-16,65905.08,14887.97,832.99,2038.15,9920.85,22286.83,0.0,24002.47,0.0,17330.43,124927.3,0.0,17588.93,4058960.0,1014527,182784,421033,1001581,1123296,0,351688,0,4818621,10275526,0,1379598,1093185.0,980461.5,2073646.5,47
2025-02-23,42428.7,7423.81,709.99,1228.6,10078.71,16633.16,0.0,28661.2,0.0,37443.99,203809.14,0.0,2628.42,2918426.96,464026,151245,166634,1035341,1070969,0,256378,0,5832540,10368132,0,244811,969263.18,554558.74,1523821.92,55
2025-03-02,50538.89,6105.99,1318.35,790.48,0.0,37935.53,0.0,22254.9,0.0,13956.45,263407.05,0.0,18001.53,3291395.95,441412,246038,69525,0,1536503,0,313924,0,982391,9445254,0,1175727,1598945.32,1303558.62,2902503.94,57
2025-03-09,59028.9,10358.0,1215.83,1019.9,9453.82,113726.56,0.0,38419.8,0.0,15381.67,244197.66,0.0,46638.78,3209073.94,572407,267205,185692,933261,4789876,0,495875,0,2008239,15799207,0,4223261,1242890.53,2494533.33,3737423.86,60
2025-03-16,64775.83,10545.36,1216.87,2776.77,207.9,96317.52,0.0,37567.3,0.0,5034.96,212649.27,0.0,49687.96,3715937.87,1112454,233070,530832,17906,4578845,0,257385,0,595236,17329195,0,4274876,1236260.02,1678560.7,2914820.72,49
2025-03-23,85426.86,14650.39,2329.35,2492.28,0.0,111823.7,3837.1,36240.96,0.0,3896.13,202144.65,0.0,75598.77,5458910.18,1226427,260650,553468,0,5950068,195000,275617,0,814236,17059283,0,8058577,1689441.1,1415573.85,3105014.95,52
2025-03-30,59906.55,11382.38,1095.46,1167.67,0.0,36790.41,1766.66,13063.38,0.0,270.97,46758.26,0.0,18963.41,3610976.0,1037157,202387,208499,0,2545353,147295,152933,0,65503,3877096,0,2286005,1309260.08,1148512.02,2457772.1,43
2025-04-06,41340.82,7038.68,901.83,874.71,0.0,56183.5,0.0,25471.98,0.0,11628.99,62729.95,0.0,34128.98,2994041.01,658675,210034,189559,0,4142496,0,259728,0,2093437,5043186,0,4985535,1195889.73,1087264.43,2283154.16,41
2025-04-13,41552.84,5682.75,614.14,1835.64,832.25,61802.95,0.0,38407.2,0.0,15831.41,71437.02,300.0,29297.95,2839296.98,502624,113149,515744,84437,3965034,0,266216,0,4734405,4989736,118415,4668880,1069158.22,1221420.67,2290578.89,38
2025-04-20,48718.94,6045.55,569.15,159.66,1823.97,25552.39,0.0,12276.5,0.0,11708.74,54792.9,0.0,4687.87,3267957.88,657241,100205,22049,195833,1772435,0,63626,0,3244783,4441889,0,911191,1440480.48,431489.24,1871969.72,41
2025-04-27,51504.33,7927.43,665.46,0.0,4041.28,46639.84,0.0,22178.62,0.0,12117.49,56820.95,0.0,12954.12,3569510.93,850805,151191,0,564910,2825837,0,113953,0,2022953,4213190,0,2844935,1749000.42,1112856.24,2861856.66,51
2025-05-04,40095.14,7816.34,540.0,0.0,2062.07,55870.56,0.0,19058.4,0.0,11652.61,57130.32,0.0,17347.97,2760826.01,917250,107500,0,264743,3366215,0,229457,0,1750099,4163676,0,3696321,1166026.55,1018173.25,2184199.8,40
2025-05-11,33513.67,8012.87,422.45,0.0,1434.63,34344.62,0.0,10603.48,0.0,9887.19,60444.47,0.0,13085.76,2545696.01,823271,94156,0,165805,1561462,0,164821,0,3884542,5270053,0,2563790,1005748.69,540659.76,1546408.45,47
2025-05-18,43815.32,7634.73,580.54,0.0,0.0,54071.54,0.0,24106.76,0.0,18046.8,79608.79,4671.48,15813.35,3775035.0,937060,110614,0,0,2674344,0,187769,0,3577986,5762984,1114333,2627754,1653907.93,1054982.64,2708890.57,47
2025-05-25,40957.0,7578.26,618.9,0.0,0.0,25732.79,0.0,9763.0,0.0,8217.25,41938.03,4127.03,10922.21,3078430.0,668460,96299,0,0,1253178,0,138735,0,1393575,3210311,1153592,1957838,1340136.64,992322.7,2332459.34,49
2025-06-01,48363.83,9351.17,946.1,0.0,0.0,29782.74,0.0,14270.53,0.0,10636.31,130684.28,4574.75,11711.18,3744675.09,755000,152568,0,0,1387377,0,108996,0,2466715,6375940,1279230,2015447,1405191.1,608736.79,2013927.89,50
2025-06-08,51225.36,11547.81,724.34,0.0,24961.48,41832.36,0.0,33944.46,4327.61,37352.04,240269.1,4905.36,28338.31,3692658.89,1187452,146304,0,3304990,1899715,0,673898,564860,9349251,11019363,1260041,4142751,1509406.54,746101.75,2255508.29,61
2025-06-15,89276.88,18986.85,1244.4,0.0,70486.85,31269.61,0.0,69399.81,9490.19,19230.55,238804.22,1915.92,35457.71,6755689.91,1517148,316564,0,8843826,1420435,0,4251088,1040968,5583549,11131237,534241,4193702,2676028.81,778281.65,3454310.46,59
2025-06-22,89864.18,22420.42,710.79,0.0,86662.6,65047.89,0.0,120863.35,37535.25,12381.59,270290.15,0.0,99700.35,6842236.58,1775766,198017,0,10530808,2297558,0,5410667,2930602,3449545,14101679,2,13250557,1896844.55,1874273.04,3771117.59,80
2025-06-29,128169.1,22324.69,558.46,0.0,9193.57,114870.22,17866.02,145297.24,29218.66,19771.46,256764.43,565.39,95362.76,8710337.92,1682866,158902,0,1378184,4222870,1698973,4216752,3409596,6382860,18218177,271589,17081979,1608136.03,2268622.35,3876758.38,69
2025-07-06,429416.01,96531.06,2025.42,0.0,0.0,146389.67,48625.75,158062.92,46199.39,46280.0,323788.57,2534.15,160228.71,28706229.37,5198769,342356,0,0,5588903,4233559,4000903,5155974,10571674,19382206,1049631,23501472,9246853.14,4077487.49,13324340.63,94
2025-07-13,81528.61,18816.82,1060.72,0.0,0.0,29632.9,9809.03,19905.45,1694.08,1020.86,109410.05,0.0,6629.9,6085484.79,1780038,289274,0,0,1438203,1167437,252391,162239,78432,6778182,0,1404544,1206757.6,1367978.66,2574736.26,64
2025-07-20,66019.59,15636.42,1560.68,0.0,24526.57,15538.97,7071.15,14210.66,11239.43,2.28,22050.07,0.0,76.08,5912625.97,1163282,341996,0,5576565,1368445,1225733,443934,1140673,136,1732124,0,26591,1565097.54,738552.43,2303649.97,66
2025-07-27,54803.57,10096.11,1390.6,0.0,25446.76,14042.39,8308.1,12494.56,11013.0,3022.29,39372.6,0.0,5678.66,4582311.0,911773,381225,0,6304517,774243,1109344,318458,1049534,613596,4696656,0,1021934,969316.17,490345.92,1459662.09,71
2025-08-03,53982.25,8531.64,891.66,0.0,867.97,60989.21,14511.69,29289.96,7660.85,6392.95,49674.56,0.11,19043.61,4010911.91,622393,210889,0,198029,2918400,1515340,584066,430134,2528730,4520294,110,3328192,1144350.38,967994.0,2112344.38,47
2025-08-10,62888.63,10946.05,1258.27,0.0,125.75,48573.11,14298.64,24911.85,7266.15,7490.5,78352.56,8997.04,22118.4,5115909.93,1099196,295394,0,22475,2144424,1657688,467539,396660,897301,7055079,2482614,3347669,1159226.73,1136794.4,2296021.13,48
2025-08-17,93968.61,13294.44,1543.52,0.0,38465.95,38975.88,839.38,39250.69,12926.31,9314.61,90731.26,0.0,27460.0,8680075.97,1339650,339031,0,5472968,1803480,166777,573905,833399,1181435,6825671,0,4568994,1655013.69,761817.57,2416831.26,60
2025-08-24,68299.51,12717.8,2366.86,0.0,50308.27,56769.05,0.0,50575.04,14444.19,10424.05,168695.6,0.0,22428.85,6677013.04,1166960,494117,0,10678152,4441714,0,795594,778058,1483236,8726095,0,3277660,1694811.21,1020855.31,2715666.52,57
2025-08-31,47492.51,11328.29,1017.34,0.0,57890.92,51055.7,0.0,43962.01,10345.05,9836.58,222622.77,0.0,14575.59,4015299.96,906144,330787,0,11913232,3742391,0,871391,578522,1752985,10027076,0,2123728,1134694.66,853371.1,1988065.76,57
2025-09-07,86062.25,11590.08,704.04,0.0,117321.33,61651.4,0.0,54846.13,24832.12,15457.93,129932.79,0.0,39133.98,4575504.99,573090,227824,0,22815564,3371473,0,1793539,1299911,2161654,8120764,0,5433860,1739006.28,1384494.5,3123500.78,45
2025-09-14,84661.14,11789.55,756.0,0.0,105207.59,66484.76,0.0,58508.68,29947.77,34123.62,123449.1,0.0,36241.76,4775206.09,655576,186113,0,27405579,3135583,0,2682986,1613424,4953673,8199699,0,5776304,1194743.23,964599.98,2159343.21,44
2025-09-21,106531.28,13773.36,684.91,0.0,45465.8,126014.83,0.0,110426.41,29943.42,84345.27,147283.5,0.0,76619.76,8048131.04,723127,202513,0,17430154,8990068,0,6127013,2268625,9284109,8745819,0,11100328,1562345.73,678755.76,2241101.49,57
2025-09-28,100179.76,11750.53,543.16,0.0,18283.27,158632.11,3955.14,155716.55,37838.83,39283.49,142207.06,0.0,129686.11,6058755.0,681998,183697,0,11374410,9812698,492064,8720136,5003705,4001878,8283739,0,15032062,1465614.46,1118071.8,2583686.26,52
2025-10-05,175840.44,12459.68,620.3,0.0,2252.75,161354.82,9306.81,90581.5,30847.69,7653.49,163828.32,1594.03,92075.82,10066896.09,884498,207402,0,2193522,6626560,1090147,5418559,3092048,1382536,8952322,520094,8562033,4393380.32,1984011.16,6377391.48,73
2025-10-12,69786.0,8405.51,205.56,0.0,28576.93,35829.71,51.22,15870.35,17936.66,22326.07,108900.48,402.93,1748.94,4646512.04,555796,85621,0,2612405,1511467,4259,375047,5704753,1795199,4318072,145089,382912,664292.94,402721.46,1067014.4,55
2025-10-19,131472.93,13204.75,1362.79,0.0,70281.68,38453.44,0.0,27170.61,16967.66,12397.68,159944.95,0.0,1734.61,6253079.08,911669,342807,0,8512418,2637827,0,380655,5171084,2077601,6948628,0,264405,2404771.06,864188.69,3268959.75,74
2025-10-26,90215.23,12876.4,8.23,0.0,34920.77,47366.13,8345.04,91568.24,63057.49,17739.39,98245.82,0.0,4083.87,5260454.91,1037838,1098,0,4482104,2694886,764711,4949526,12707446,2423057,6386780,0,503287,1627123.78,2060960.89,3688084.67,84
2025-11-02,66069.57,3910.17,0.0,0.0,0.0,35568.45,6391.17,64298.81,20216.46,10825.74,82033.73,0.0,1202.9,4329572.04,443596,0,0,0,3462420,560550,3200600,2357974,2466878,9187598,0,94914,1137904.87,928381.66,2066286.53,87
2025-11-09,64730.04,5722.47,0.0,0.0,33156.05,82432.22,20965.67,63857.78,17098.92,2222.95,94584.98,0.0,35018.85,4628159.0,570017,0,0,2700980,5739825,1735043,3055784,2104171,508170,9298215,0,5280887,1876934.76,1913525.5,3790460.26,85
2025-11-16,78910.24,8882.98,0.0,0.0,41589.05,116992.95,51399.41,77773.98,31991.63,0.0,114178.46,0.0,37325.01,6163669.89,653400,0,0,3846805,7832124,4142539,2971378,3207988,0,10189761,0,5774224,3414454.37,2618278.5,6032732.87,90
2025-11-23,122713.64,12975.73,0.0,0.0,33746.78,158789.98,109177.42,108576.5,54274.58,0.0,186719.09,1520.15,42865.18,9985728.67,858038,0,0,3277561,7893491,7253928,4693359,8963409,0,12899765,621272,6052634,7054414.02,5045526.85,12099940.87,100
