week,bing_spend,display_spend,search_spend,dv360_spend,pmax_spend,apple_news_spend,demandgen_spend,fb-ig_spend,twitter_spend,youtube_spend,tiktok_spend,dsp_spend,SB_spend,SD_spend,SPA_spend,fincast_spend,bing_impression,display_impression,search_impression,dv360_impression,pmax_impression,apple_news_impression,demandgen_impression,fb-ig_impression,twitter_impression,youtube_impression,tiktok_impression,dsp_impression,SB_impression,SD_impression,SPA_impression,fincast_impression,promotion,google_search_index,amz_search_without_keywords,amazon_rev,dtc_rev,total_rev
2024-11-24,1611.84,0,36625.88,0,27508.75,0,0,389744.68,12426.24,276342.6,10737.83,475962.68,70118.19,12519.62,423741.99,267424.6104,31662,0,181878,0,5339682,0,0,34276963,1808010,33431948,729567,37221715,4454674,701895,84353843,5272788,1,100,2114452,24970468.47,1226095.13,26196563.6
2024-12-01,2593.62,0,35731.6,0,33790.44,0,0,197115.63,3665.59,378118.32,247,249066.38,42215.29,4945.98,231024.78,218696.8688,43978,0,188074,0,5620242,0,0,17400901,957933,41027490,3636,24721460,3153902,667475,33605365,4097343,1,87,1529678,16162644.35,868770.87,17031415.22
2024-12-08,366.93,0,31493.09,0,21051.73,0,0,151792.56,1031.04,124233.92,0,258595.22,35663.81,3567.4,223465.49,283109.256,41598,0,223057,0,4397554,0,0,12544885,415197,13432379,0,28552896,3210721,475879,28475676,4097343,0,74,1134496,14532207.62,582297.41,15114505.03
2024-12-15,0,0,23454.39,0,22657.4,0,0,194472.27,0,0,0,193841.26,30691.56,2547.45,195114.51,30438.8175,38424,0,261879.96,0,5261832,0,0,16789029,0,0,0,25308369,2777407,354846,21749806,4097343,0,72,1161950,12906823.25,436929.46,13343752.71
2024-12-22,0,0,20922.79,0,22545.06,0,0,121208.37,0,0,0,115667.33,30277.27,2547,206208.66,0,34026,0,263925,0,5109703,0,0,12813336,0,0,0,17975370,3047347,279933,19839181,0,0,83,1125071,9881134.84,339583.39,10220718.23
2024-12-29,0,0,18900.6,0,19671.99,0,0,62498.16,0,0,0,62204.09,32526.75,2364.75,201098.25,0,43399,0,201633.98,0,4674483,0,0,8394622,0,0,0,12745805,3491273,329469,20592505,0,0,69,1021472,10276159.11,330296.74,10606455.85
2025-01-05,0,0,21057.33,0,19458.63,0,0,43294.14,0,0,0,49252.41,31711.03,2228.49,223557.99,0,51040,0,188919,0,5004581,0,0,5960968,0,0,0,14698695,3859334,317944,22860136,0,0,73,988471,11360169.51,533335.23,11893504.74
2025-01-12,0,0,19626.18,0,20818.5,0,0,51337.36,0,7526.6,0,59918.75,27942.12,1889.93,197766.82,0,56722,0,175386,0,5161763,0,0,6566765,0,2194152,0,12804975,3664968,280221,21395478,0,0,61,901545,10208094.53,332548.7,10540643.23
2025-01-19,0,0,14024.9,0,16508.36,0,0,63152.26,0,4984.88,0,54547.66,26289.36,714.97,190743.27,0,43362,0,130660,0,4534821,0,0,7304697,0,1354983,0,13460384,4754698,135114,18251178,0,0,53,846498,9516492.14,289159.14,9805651.28
2025-01-26,0,0,10715.75,0,13673.61,0,0,50672.4,0,6080.51,0,70206.61,22698.24,583.24,192590.28,0,31803,0,92856,0,3520601,0,0,6069855,0,816102,0,15909095,4946254,116571,19080422,0,0,49,771242,9553507.77,292874.48,9846382.25
2025-02-02,0,0,11158.8,0,12179.93,0,0,41867.78,0,7411.06,2695.38,46931.85,24593.19,598.2,238351.44,0,42053,0,108789,0,2832259,0,0,5344587,0,1670411,123495,10985664,5036691,128399,23034173,0,0,55,798262,10170869.57,344553.83,10515423.4
